start_date,bike_nr,Occupancy-of-Bikes,Occupancy-Users
2012 July 18,1648.0,0.05899198167239404,0.1293157564344005
2012 July 19,2663.0,0.0953250286368843,0.20896107972379158
2012 July 20,2546.0,0.0911368843069874,0.19978028876333961
2012 July 21,2513.0,0.08995561282932417,0.1971908349026993
2012 July 22,2187.0,0.0782860824742268,0.1716101694915254
2012 July 23,2200.0,0.07875143184421535,0.17263025737602009
2012 July 24,2150.0,0.07696162657502864,0.168706842435656
2012 July 25,2593.0,0.09281930126002291,0.20346829880728184
2012 July 26,2176.0,0.07789232531500573,0.17074701820464533
2012 July 27,2080.0,0.07445589919816724,0.16321406151914628
2012 July 28,1497.0,0.05358676975945017,0.11746704331450095
2012 July 29,1638.0,0.0586340206185567,0.1285310734463277
2012 July 30,2782.0,0.09958476517754868,0.21829880728185813
2012 July 31,2255.0,0.08072021764032074,0.17694601381042058
2012 June 01,2279.0,0.08157932416953036,0.17882925298179536
2012 June 02,358.0,0.012815005727376861,0.028091650973006907
2012 June 03,1058.0,0.037872279495990833,0.08301946013810421
2012 June 04,663.0,0.023732817869415807,0.052024482109227874
2012 June 05,1465.0,0.05244129438717068,0.11495605775266793
2012 June 06,2012.0,0.0720217640320733,0.1578782172002511
2012 June 07,2143.0,0.0767110538373425,0.16815756434400503
2012 June 08,1880.0,0.06729667812142039,0.1475204017576899
2012 June 09,2096.0,0.07502863688430698,0.16446955430006277
2012 June 10,2093.0,0.07492124856815578,0.16423414940364092
2012 June 11,2233.0,0.07993270332187857,0.17521971123666039
2012 June 12,2344.0,0.08390607101947307,0.18392969240426868
2012 June 13,733.0,0.026238545246277205,0.0575172630257376
2012 June 14,2414.0,0.08641179839633448,0.1894224733207784
2012 June 15,2503.0,0.08959765177548683,0.1964061519146265
2012 June 16,1563.0,0.055949312714776635,0.12264595103578155
2012 June 17,1841.0,0.06590063001145476,0.1444601381042059
2012 June 18,2388.0,0.08548109965635739,0.1873822975517891
2012 June 19,2333.0,0.083512313860252,0.18306654111738857
2012 June 20,2094.0,0.07495704467353952,0.1643126177024482
2012 June 21,1912.0,0.06844215349369989,0.15003138731952292
2012 June 22,1731.0,0.06196305841924399,0.1358286252354049
2012 June 23,1555.0,0.055662943871706755,0.12201820464532329
2012 June 24,2115.0,0.07570876288659793,0.16596045197740114
2012 June 25,1679.0,0.06010166093928981,0.13174827369742623
2012 June 26,2099.0,0.07513602520045819,0.16470495919648462
2012 June 27,2199.0,0.07871563573883161,0.1725517890772128
2012 June 28,2262.0,0.08097079037800688,0.17749529190207156
2012 June 29,1974.0,0.07066151202749141,0.1548964218455744
2012 June 30,1963.0,0.07026775486827033,0.15403327055869429
2012 March 13,1.0,3.579610538373425e-05,7.846829880728186e-05
2012 March 15,348.0,0.01245704467353952,0.027306967984934087
2012 March 16,284.0,0.010166093928980527,0.022284996861268048
2012 March 17,496.0,0.017754868270332187,0.0389202762084118
2012 March 18,1068.0,0.03823024054982818,0.08380414312617702
2012 March 19,679.0,0.024305555555555556,0.05327997489014438
2012 March 20,866.0,0.03099942726231386,0.06795354676710609
2012 March 21,1136.0,0.04066437571592211,0.08913998744507219
2012 March 22,1371.0,0.049076460481099655,0.10758003766478343
2012 March 23,1572.0,0.05627147766323024,0.12335216572504708
2012 March 24,1057.0,0.0378364833906071,0.08294099183929693
2012 March 25,485.0,0.017361111111111112,0.0380571249215317
2012 March 26,765.0,0.0273840206185567,0.06002824858757062
2012 March 27,796.0,0.028493699885452462,0.06246076585059636
2012 March 28,840.0,0.03006872852233677,0.06591337099811675
2012 March 29,921.0,0.032968213058419245,0.0722693032015066
2012 March 30,1118.0,0.04002004581901489,0.08772755806654112
2012 March 31,643.0,0.023016895761741124,0.050455116133082234
2012 May 01,507.0,0.018148625429553266,0.0397834274952919
2012 May 02,1529.0,0.05473224513172967,0.11997802887633396
2012 May 03,1214.0,0.04345647193585338,0.09526051475204017
2012 May 04,1482.0,0.05304982817869416,0.11629001883239172
2012 May 05,1401.0,0.050150343642611686,0.10993408662900188
2012 May 06,1269.0,0.04542525773195876,0.09957627118644068
2012 May 07,1862.0,0.06665234822451317,0.14610797237915882
2012 May 08,857.0,0.03067726231386025,0.06724733207784055
2012 May 09,1024.0,0.03665521191294387,0.08035153797865663
2012 May 10,1220.0,0.04367124856815578,0.09573132454488387
2012 May 11,1961.0,0.07019616265750286,0.15387633396107972
2012 May 12,2188.0,0.07832187857961054,0.1716886377903327
2012 May 13,1823.0,0.06525630011454754,0.14304770872567482
2012 May 14,1423.0,0.05093785796105384,0.11166038920276208
2012 May 15,1356.0,0.048539518900343644,0.1064030131826742
2012 May 16,1463.0,0.05236970217640321,0.11479912115505336
2012 May 17,2297.0,0.08222365406643757,0.18024168236032642
2012 May 18,2399.0,0.08587485681557847,0.18824544883866917
2012 May 19,2136.0,0.07646048109965636,0.16760828625235405
2012 May 20,2262.0,0.08097079037800688,0.17749529190207156
2012 May 21,1612.0,0.057703321878579614,0.12649089767733834
2012 May 22,629.0,0.022515750286368843,0.04935655994978029
2012 May 23,2042.0,0.07309564719358534,0.16023226616446956
2012 May 24,2103.0,0.07527920962199312,0.16501883239171375
2012 May 25,2180.0,0.07803550973654066,0.17106089139987446
2012 May 26,2070.0,0.0740979381443299,0.16242937853107345
2012 May 27,2532.0,0.09063573883161512,0.19868173258003766
2012 May 28,2316.0,0.08290378006872852,0.1817325800376648
2012 May 29,2066.0,0.07395475372279496,0.16211550533584432
